address1,address2,city,state,zip,description,category,subcategory,status,severity,user_id,active_status
,,Atlanta,GA,30336,There are several overflowing trash receptacles in the park downtown. Someone needs to pick up the trash immediately.,"Trash, Recycling and Pickup",Overflowing public receptacle complaint,New,Not Set,18,active
,,Savannah,GA,31416,I am requesting a fire safety inspection for stores in the Gateway Plaza. I worry that fire hazards exist in multiple stores.,Consumer/Residential,Commercial fire safety inspection request,New,Not Set,20,active
,,Atlanta,GA,30343,The city clerk has refused to issue me a dog license and will not give a valid reason why.,Consumer/Residential,City official complaint,In Progress,Not Set,33,active
,,Columbus,GA,31904,The factories along the Atlanta River are producing a dangerously high amount of dust and smoke. Someone needs to look into this as our health is at stake.,Environmental,Air pollution complaint,In Progress,Not Set,5,active
,,Atlanta,GA,30386,There are a group of wild turkeys roaming the playgrounds in Millenium Park. They are aggressive and need to be dealt with.,Animals,Nuisance animal complaint,New,Not Set,42,active
,,Atlanta,GA,31190,There is graffiti on the signs and wall in the Georgia Gardens that needs to be removed. Please send someone to clean it up.,Consumer/Residential,Graffiti removal request,In Progress,Not Set,40,active
,,Athens,GA,30605,My yard waste was left on the curb yesterday morning but was never picked up. Can you send someone to pick it up?,"Trash, Recycling and Pickup",Missed yard waste pickup complaint,In Progress,Not Set,17,active
01974 Alpine Pass,,Augusta,GA,30919,There is an enormous bees nest on a tree in the southwest corner of Gateway Park. Please send someone to remove it before they sting someone.,Animals,Bee/wasp removal request,In Progress,Moderate,25,active
,,Atlanta,GA,30323,There are several bags of garbage that were dumped on the side of Route 1A. I did not see the individuals who did it.,Environmental,Illegal dumping complaint,Resolved,Not Set,9,active
72512 Graceland Junction,,Cumming,GA,30130,No one came to pick up the trash on my street yesterday. It looks like my entire street was skipped. Please send someone.,"Trash, Recycling and Pickup",Missed trash pickup complaint,In Progress,Critical,36,active
,,Marietta,GA,30061,The factories along the Atlanta River are producing a dangerously high amount of dust and smoke. Someone needs to look into this as our health is at stake.,Environmental,Air pollution complaint,In Progress,Not Set,45,active
