email,first_name,last_name,address1,address2,city,state,zip,phone,username,active,role,password,password_confirmation,deactivated_at
admin@email.com,Cristina,Casine,42 Gerald Hill,,Valdosta,GA,31605,229-418-1188,ccasine0,TRUE,admin,password,password,
official@email.com,Sinclare,Cluelow,7671 Alpine Way,,Marietta,GA,30066,770-788-8052,scluelow1,TRUE,official,password,password,
ddarrington2@typepad.com,Demetris,Darrington,2517 Ramsey Center,,Atlanta,GA,30380,404-384-4345,ddarrington2,TRUE,official,H09oYWLT9t,H09oYWLT9t,
maslie3@mozilla.org,Mateo,Aslie,21 Truax Alley,,Valdosta,GA,31605,229-895-8462,maslie3,TRUE,official,iWcbaEhaL79,iWcbaEhaL79,
resident@email.com,Valma,Burkman,943 Washington Plaza,,Atlanta,GA,30368,404-346-0241,vburkman4,TRUE,resident,password,password,
rklimus5@salon.com,Raine,Klimus,30172 Canary Court,,Columbus,GA,31914,706-187-6217,rklimus5,TRUE,resident,QoH7FYnpF0i,QoH7FYnpF0i,
rbarstock6@behance.net,Rog,Barstock,4738 Coolidge Court,Apt 2,Macon,GA,31217,912-268-0860,rbarstock6,FALSE,resident,boPMsrvmc,boPMsrvmc,1
eboag7@economist.com,Esdras,Boag,8121 Tennyson Lane,,Atlanta,GA,31106,404-893-5557,eboag7,FALSE,resident,zgQfIK,zgQfIK,4
dcorking8@lycos.com,Drew,Corking,63 Cardinal Way,,Atlanta,GA,30380,404-184-7955,dcorking8,TRUE,resident,RznWTdflc3M,RznWTdflc3M,
sfryd9@studiopress.com,Susana,Fryd,455 Weeping Birch Street,Apt 10,Atlanta,GA,30323,770-910-4918,sfryd9,TRUE,resident,RCT1GNa,RCT1GNa,
anorwicha@ow.ly,Annmaria,Norwich,90 Steensland Drive,,Atlanta,GA,30311,770-953-5881,anorwicha,TRUE,resident,k71Vg8vmIxj,k71Vg8vmIxj,
aterranb@ebay.co.uk,Albrecht,Terran,77062 Delladonna Hill,Apt 4,Atlanta,GA,31190,404-357-3018,aterranb,TRUE,resident,81uC1Ygt,81uC1Ygt,
lgasonc@wix.com,Latrena,Gason,21 Waywood Park,,Atlanta,GA,31190,404-641-7061,lgasonc,TRUE,resident,e5yENlk,e5yENlk,
jvanhalend@spiegel.de,Jayson,Van Halen,99114 Derek Hill,,Savannah,GA,31416,912-630-9007,jvanhalend,TRUE,resident,esK3YHys,esK3YHys,
